"Build number","KB number","Release Date","Cumulative Update number/Security ID","Modern Servicing Model","Includes latest security updates?","Includes latest security fixes?","Lifecycle stage","Notes regarding Lifecycle stage"
"12.0.5511.0","3178925","42607","CU1",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5000.0","3171021","42562","N/A",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4502.0","4010392","Feb 21 2017 ","CU11",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4491.0","3204399","42731","CU10",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4232.0","3194720","42682","MS16-136",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4487.0","3194722","42682","MS16-136",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4474.0","3186964","42661","CU9",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4468.0","3174038","42598","CU8",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4459.0","3162659","42541","CU7",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4457.0","3167392","42478","CU6",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4439.1","3130926","42422","CU5",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4436.0","3106660","42359","CU4",,,"Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4427.24","3094221","42296","CU3",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4422.0","3075950","42233","CU2",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4416.0","3067839","42174","CU1",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4213.0","3070446","42199","MS15-058",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4100.1","3058865","42128","N/A",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.2569.0","3158271","42541","CU14",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2568.0","3144517","42478","CU13",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2564.0","3130923","42422","CU12",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2560.0","3106659","42359","CU11",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2556.4","3094220","42296","CU10",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2553.0","3075949","42233","CU9",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2548.0","3045323","42199","MS15-058",,"Yes","Yes","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2546.0","3067836","42174","CU8",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2495.0 ","3046038","42114","CU7",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2480.0","3031047","42051","CU6",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2456.0 ","3011055","41990","CU5",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2430.0","2999197","41933","CU4",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2402.0","2984923","41869","CU3",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2381.0","2977316","41863","MS14-044",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2370.0","2967546","41817","CU2",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2342.0","2931693","41750","CU1",,"No","No. Min recommended update: 12.0.2548.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2269.0","3045324","42199","MS15-058",,"No","No. Recommended update: 12.0.4213.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2254.0","2977315","41863","MS14-044",,"No","No. Recommended update: 12.0.4213.0 MS15-058  (KB: 3045323)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.2000.8","N/A","41730","N/A",,"No","No. Recommended update: 12.0.4213.0 MS15-058  (KB: 3070446)","Mainstream Support Phase","Service Pack support date ends on 7/12/2016 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"12.0.4511.0","(KB 4017793)","42842","CU12",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5546.0","(KB 4013098)","Feb 21 2017 ","CU5",,"Yes","Mainstream Support Phase",,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4522.0","(KB 4019099)","42955","CU13",,"Yes","Yes","Mainstream Support Phase","Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5553.0","(KB 4019094)","42955","CU6",,"Mainstream Support Phase","Mainstream Support Phase",,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.4237.0","4019091","42955",,,"Yes",,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"13.0.5207.0","4019093","42955",,,"Yes",,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5556.0","KB4032541","28/8/2017","CU7",,"Mainstream Support Phase",,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5557.0","(KB 4037356)","43024","CU8",,,,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5563.0","KB 4055557","43093","CU9",,,,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5571.0","(KB 4052725)","43116","CU10 + ADV180002",,,,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"12.0.5214.6","KB 4057120","43116","ADV180002",,,,,"Support phase ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/9/2024), whichever comes first."
"11.0.6567.0","3194992","42691","CU6",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6248.0","3194721","42682","MS16-136",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6567.0","3194724","42682","MS16-136",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6544.0","3180915","42634","CU5",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6540.0","3165264","42569","CU4",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6537.0","3152635","42506","CU3",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6523.0","3137746","42450","CU2",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6518.0","3123299","42389","CU1",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6020.0","3072779","42328","N/A",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.5676.0","3205416","42691","CU15",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.5388.0","3194719","42682","MS16-136",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.5676.0","3194725","42682","MS16-136",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.5657.0","3180914","42633","CU14",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5655.0","3165266","42569","CU13",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5649.0","3152637","42506","CU12",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5646.0","3137745","42450","CU11",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5644.2","3120313","42389","CU10",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5641.0","3098512","42324","CU9",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5634.1","3082561","42268","CU8",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5623.0","3072100","42205","CU7",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5613.0","3045319","42199","MS15-058",,,"Yes",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5592.0","3052468","42132","CU6",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5582.0","3037255","42079","CU5",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5569.0 ","3007556","42023","CU4",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5556.0","3002049","41960","CU3",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5548.0","2983175","41897","CU2",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5532.0","2976982","41843","CU1",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5343.0","3045321","42199","MS15-058",,,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.5058.0","2958429","42165","N/A",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Service Pack support date ends on 1/10/2017 and the support lifecycle switches to Mainstream Support Phase w/o product updates/DCRs after that."
"11.0.3513.0","3045317","42199","MS15-058",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3482.00","3002044","41960","CU13",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3470.00","2991533","41897","CU12",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3460.0","2977325","41863","MS14-044",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3449.00","2975396","41841","CU11",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3431.00","2954099","41778","CU10",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3412.00","2931078","41715","CU9",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3401.00","2917531","41659","CU8",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3393.00","2894115","41596","CU7",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3381.00","2874879","41533","CU6",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3373.00","2861107","41470","CU5",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3368.00","2833645","41424","CU4",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3349.00","2812412","41351","CU3",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3339.00","2790947","41295","CU2",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3321.00","2765331","41233","CU1",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3156.00","3045318","42199","MS15-058",,,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3153.00","2977326","41863","MS14-044",,,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.3000.00","2674319","41220","N/A",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2424.00","2908007","41624","CU11",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2420.00","2891666","41568","CU10",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2419.00","2867319","41506","CU9",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2410.00","2844205","41442","CU8",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2405.00","2823247","41379","CU7",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2401.00","2728897","41323","CU6",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2395.00","2777772","41260","CU5",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2383.00","2758687","41197","CU4",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2376.00","2716441","41191","MS12-070",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2332.00","2723749","41152","CU3",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2325.00","2703275","41078","CU2",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2316.00","2679368","41011","CU1",,,"No, Minimum recommended update: 11.0.5623.0 (SP2 CU7, KB 3072100)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2218.00","2716442","41191","MS12-070",,,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.2100.60","N/A","40974","N/A",,,"No, upgrade to the latest GDR build 11.0.5613.0 (MS15-058)",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.5678.0","KB3205054","42753","CU16",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6579.0","KB3205051","42753","CU7",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6594.0","KB4013104","42815","CU8",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6598.0","KB4016762","42871","CU9",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6607.3","KB4025925","42955","CU10",,,"Yes",,"Support ends 12 months after the next service pack releases or at the end of the product's support lifecycle (7/12/2022), whichever comes first. For more information, please see the service pack policy at http://support.microsoft.com/lifecycle/#ServicePackSupport."
"11.0.6251.0","4019092","42955",,,,"Yes",,"Mainstream Support Phase w/o product updates/DCRs"
"11.0.7001.0","4018073","43012","N/A",,,"Yes",,"Support ended"
"11.0.7462.6","KB 4057116","43116","ADV180002",,,"Yes",,"Support ended"
"11.0.6614.2","KB 4057121","43116","ADV180002",,,"Yes",,"Support ended"
"11.0.6260.1","KB 4057115","43116","ADV180002",,,"Yes",,"Support ended"
"10.50.6529.00","3045314","42199","MS15-058",,,,"Extended Support Phase",
"10.50.6220.00","3045316","42199","MS15-058",,,,"Extended Support Phase",
"10.50.6000.34","2979597","41908","N/A",,,,"Extended Support Phase",
"10.50.4339.00","3045312","42199","MS15-058",,,,"Extended Support Phase",
"10.50.4321.00","2977319","41865","MS14-044",,,,"Extended Support Phase",
"10.50.4319.00","2967540","41820","CU13",,,,"Extended Support Phase",
"10.50.4305.00","2938478","41872","CU12",,,,"Extended Support Phase",
"10.50.4302.00","2926028","41688","CU11",,,,"Extended Support Phase",
"10.50.4297.00","2908087","41625","CU10",,,,"Extended Support Phase",
"10.50.4295.00","2887606","41575","CU9",,,,"Extended Support Phase",
"10.50.4290.00","2871401","41508","CU8",,,,"Extended Support Phase",
"10.50.4285.00","2844090","41442","CU7",,,,"Extended Support Phase",
"10.50.4279.00","2830140","41379","CU6",,,,"Extended Support Phase",
"10.50.4276.00","2797460","41323","CU5",,,,"Extended Support Phase",
"10.50.4270.00","2777358","41260","CU4",,,,"Extended Support Phase",
"10.50.4266.00","2754552","41197","CU3",,,,"Extended Support Phase",
"10.50.4263.00","2740411","41152","CU2",,,,"Extended Support Phase",
"10.50.4260.00","2720425","41114","CU1",,,,"Extended Support Phase",
"10.50.4042.00","3045313","42199","MS15-058",,,,"Extended Support Phase",
"10.50.4033.00","2977320","41863","MS14-044",,,,"Extended Support Phase",
